OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,FIRE_TYPE,IRWINID,MAP_ID,MAP_PROG,ASMNT_TYPE,IG_DATE,PRE_ID,POST_ID,PERIM_ID,DNBR_OFFST,DNBR_STDDV,NODATA_THRESHOLD,GREENNESS_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,COMMENTS,LATITUDE,LONGITUDE,SHAPEAREA,SHAPELEN
21869,1435,AK6057715534020160716,CHILIKADROTNA RIVER,2016,7,16,Wildfire,908245B3-BFAE-4D03-ADF2-5659261236E0,10007196,MTBS,Extended,20160716,807301820150620,807301820170625,,-40,23,-970,-150,15,325,9999,,60.584,-155.313,0.000950949418528393,0.262786953570834
21870,8264,AK6095015630120160714,HOOK CREEK,2016,7,14,Wildfire,838B9013-B15C-4935-B8D5-4F650546902C,10007189,MTBS,Extended,20160714,807301720150823,807301720170828,,-44,19,-970,-150,35,365,9999,,60.933,-156.236,0.00553621459939203,0.637448953832964
21871,2266,AK6105016359820160602,AROPUK LAKE,2016,6,2,Wildfire,D6E90497-ACAD-47B2-B93A-A50C36D5E4A1,10007140,MTBS,Extended,20160602,807701720150616,807701720170605,,32,21,-970,-150,60,325,9999,,61.028,-163.575,0.0015229209292758,0.404673291013185
21872,1380,AK6105916133420160714,GWEEK RIVER,2016,7,14,Wildfire,374E484B-3DAD-4578-BA3C-F92DA338A5BC,10007144,MTBS,Extended,20160714,807601720150625,807701720170707,,-49,38,-970,-150,30,350,9999,,61.057,-161.331,0.000928208861241107,0.260767389603935
21873,7832,AK6117915918520160715,TIMBER CREEK,2016,7,15,Wildfire,64F92CA6-0D53-491D-8DB3-6527D0398B36,10007172,MTBS,Extended,20160715,807501720150805,807501720170927,,25,32,-970,-150,90,360,9999,,61.149,-159.18,0.00528316051398224,0.46444781497169
21874,4527,AK6126916028820160714,BOGUS CREEK,2016,7,14,Wildfire,71893BC3-D1B4-4472-B461-9CA190A7CE05,10007156,MTBS,Initial,20160714,807501720150720,807501720160908,,-39,17,-970,-150,15,300,9999,,61.284,-160.279,0.00306631883262294,0.85612153543445
21875,22826,AK6129414325120160716,STEAMBOAT CREEK,2016,7,16,Wildfire,FEF6AAE3-0BD6-4333-BAED-8D35FC016D24,10007319,MTBS,Extended,20160716,806401720150808,806401720170712,806501720160801,-5,38,-970,-180,15,265,9999,,61.247,-143.113,0.0154442621258725,2.00421069465687
21876,6179,AK6135616082720160714,ISRATHORAK CREEK,2016,7,14,Wildfire,5B3CFA69-4D0F-4B50-BEE5-531768E6E5A5,10007146,MTBS,Extended,20160714,807601720150625,807701720170707,,-29,12,-970,-150,5,300,9999,,61.357,-160.786,0.00419429480253327,0.622660756393664
21877,2504,AK6149015915820160714,DOESTOCK CREEK,2016,7,14,Wildfire,430309C3-AF0A-42C2-B109-9D203DA068B1,10007161,MTBS,Extended,20160714,807501720150618,807601720170614,,-34,14,-970,-150,10,390,9999,,61.481,-159.11,0.00170641730030935,0.332316132467649
21878,1217,AK6166715940620160714,OWHAT RIVER 2,2016,7,14,Wildfire,65B15ED2-8AD5-4A78-8556-2F1B3A44F64D,10007162,MTBS,Extended,20160714,807501720150618,807601720170614,,-41,5,-970,-150,-9999,315,9999,,61.687,-159.285,0.000835019827826954,0.177667409264653
